Luchthavens,Perioden,Overlandbewegingen,Terreinbewegingen,Totaal Vluchten,Geregelde vluchten,Aantal passagiers,Goederenvervoer (ton),Postvervoer(ton)
Totaal luchthavens van nationaal belang,01/04/2021,46250,14508,40663,38151,2106091,443523,3891
Totaal luchthavens van nationaal belang,01/07/2021,63740,26902,53579,51214,3857879,455910,3608
Totaal luchthavens van nationaal belang,01/10/2021,118352,24863,106460,102727,12007816,423571,3029
Totaal luchthavens van nationaal belang,01/12/2021,111946,17727,102360,99362,11097749,472294,3021
Totaal luchthavens van nationaal belang,01/04/2022,101530,20696,91628,88984,10113454,395177,2470
Totaal luchthavens van nationaal belang,01/07/2022,141723,24331,126895,121940,17349537,380628,2041
Totaal luchthavens van nationaal belang,01/10/2022,145526,26158,131603,126077,18699467,385804,1671
Totaal luchthavens van nationaal belang,01/12/2022,122584,17879,112474,109513,15105600,384347,1533
Totaal luchthavens van nationaal belang,01/04/2023,114594,20481,104782,102335,14105509,347668,1375
Totaal luchthavens van nationaal belang,01/07/2023,144810,24638,131716,128119,18967094,347405,1349
Amsterdam Airport Schiphol,01/04/2021,39169,1333,37538,36054,2034499,411565,3891
Amsterdam Airport Schiphol,01/07/2021,51611,1307,48491,47275,3571657,426105,3608
Amsterdam Airport Schiphol,01/10/2021,95434,1358,91007,89230,10187129,394753,3029
Amsterdam Airport Schiphol,01/12/2021,94125,1245,89920,88495,9697525,434880,3021
Amsterdam Airport Schiphol,01/04/2022,84150,1264,80742,79557,8880807,369025,2470
Amsterdam Airport Schiphol,01/07/2022,114346,1447,108759,106031,14884252,352647,2041
Amsterdam Airport Schiphol,01/10/2022,116325,1608,110757,108100,15704017,358515,1671
Amsterdam Airport Schiphol,01/12/2022,101643,1513,97378,95950,13001804,357551,1533
Amsterdam Airport Schiphol,01/04/2023,95154,1513,91460,90353,12263717,334761,1375
Amsterdam Airport Schiphol,01/07/2023,119798,1617,114738,112722,16392545,344453,1349
Rotterdam The Hague Airport,01/04/2021,2439,5456,510,20,6280,0,0
Rotterdam The Hague Airport,01/07/2021,4202,8281,1041,526,50166,0,0
Rotterdam The Hague Airport,01/10/2021,7701,8338,4238,3312,463008,0,0
Rotterdam The Hague Airport,01/12/2021,4929,5752,2518,1804,235941,0,0
Rotterdam The Hague Airport,01/04/2022,5412,5878,2422,1780,223576,0,0
Rotterdam The Hague Airport,01/07/2022,9513,7784,5269,4173,588091,0,0
Rotterdam The Hague Airport,01/10/2022,10703,7972,6745,5049,844729,0,0
Rotterdam The Hague Airport,01/12/2022,6671,5387,3947,3293,456946,0,0
Rotterdam The Hague Airport,01/04/2023,6415,5565,3615,3093,405064,0,0
Rotterdam The Hague Airport,01/07/2023,9512,7450,5146,4350,623681,0,0
Eindhoven Airport,01/04/2021,1068,0,967,887,63442,0,0
Eindhoven Airport,01/07/2021,2679,0,2363,2175,227211,0,0
Eindhoven Airport,01/10/2021,9553,0,9136,8736,1279911,0,0
Eindhoven Airport,01/12/2021,8406,0,8058,7752,1127860,0,0
Eindhoven Airport,01/04/2022,7264,0,6984,6719,986124,0,0
Eindhoven Airport,01/07/2022,11263,0,10882,10548,1795905,0,0
Eindhoven Airport,01/10/2022,12042,0,11657,11299,1978075,0,0
Eindhoven Airport,01/12/2022,9687,0,9456,9202,1570495,0,0
Eindhoven Airport,01/04/2023,8628,0,8378,8150,1382384,0,0
Eindhoven Airport,01/07/2023,11414,0,11133,10805,1903041,0,0
Maastricht Aachen Airport,01/04/2021,1970,385,1565,1190,1870,31958,0
Maastricht Aachen Airport,01/07/2021,2443,988,1578,1238,8151,29804,0
Maastricht Aachen Airport,01/10/2021,2979,865,1806,1449,62962,28818,0
Maastricht Aachen Airport,01/12/2021,2598,674,1652,1311,24663,37413,0
Maastricht Aachen Airport,01/04/2022,2147,581,1263,928,12539,26152,0
Maastricht Aachen Airport,01/07/2022,3269,1154,1655,1188,58133,27981,0
Maastricht Aachen Airport,01/10/2022,3310,608,2048,1629,135719,27289,0
Maastricht Aachen Airport,01/12/2022,2183,582,1443,1068,59641,26796,0
Maastricht Aachen Airport,01/04/2023,1944,474,1130,739,43291,12907,0
Maastricht Aachen Airport,01/07/2023,762,378,386,242,19181,2952,0
Groningen Airport Eelde,01/04/2021,1604,7334,83,0,0,0,0
Groningen Airport Eelde,01/07/2021,2805,16326,106,0,694,0,0
Groningen Airport Eelde,01/10/2021,2685,14302,273,0,14806,0,0
Groningen Airport Eelde,01/12/2021,1888,10056,212,0,11760,0,0
Groningen Airport Eelde,01/04/2022,2557,12973,217,0,10408,0,0
Groningen Airport Eelde,01/07/2022,3332,13946,330,0,23156,0,0
Groningen Airport Eelde,01/10/2022,3146,15970,396,0,36927,0,0
Groningen Airport Eelde,01/12/2022,2400,10397,250,0,16714,0,0
Groningen Airport Eelde,01/04/2023,2453,12929,199,0,11053,0,0
Groningen Airport Eelde,01/07/2023,3324,15193,313,0,28646,0,0
